,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,curr_iss_amt,convert_cd,sum
22,123014,凯发转债,-0.21%,105.075,0.63,6.78,0,0.99,A+,4.244,3.150,123014,88.145
23,123009,星源转债,2.48%,108.218,1.81,3.66,0,0.4,AA,4.858,4.798,123009,88.122
24,123019,中来转债,0.60%,101.44,3.84,10.84,0,3.72,AA-,5.83,10.000,未到转股期,87.72
25,110047,山鹰转债,1.56%,110.04,0.84,2.37,0,1.37,AA+,5.567,23.000,未到转股期,87.58999999999999
26,128056,今飞转债,0.67%,102.3,1.61,10.25,0,3.08,A+,5.838,3.680,未到转股期,87.45
27,113523,伟明转债,0.79%,114.36,-2.36,-1.53,0,0.15,AA,5.619,6.700,未到转股期,87.17
28,113519,长久转债,-0.56%,110.49,-4.94,2.7,0,1.63,AA,5.529,7.000,未到转股期,86.81
29,128034,江银转债,1.11%,111.01,0.59,2.27,2,-0.27,AA+,4.745,17.583,128034,86.72
30,110057,现代转债,6.39%,106.39,1.83,7.02,0,0.73,AAA,5.923,16.160,未到转股期,86.59
31,128033,迪龙转债,0.92%,101.78,1.61,11.81,1,1.77,AA,4.663,5.199,128033,86.41
32,113016,小康转债,-0.69%,98.72,-1.07,15.04,1,2.64,AA,4.523,8.814,191016,86.24000000000001
33,113528,长城转债,-0.31%,101.63,0.88,12.57,0,2.66,AA-,5.841,6.340,未到转股期,85.80000000000001
34,128044,岭南转债,0.02%,102.7,-1.32,11.81,1,1.7,AA,5.296,6.594,128044,85.49
35,128018,时达转债,0.58%,99.64,0.94,15.08,1,2.42,AA,4.523,8.823,128018,85.28
36,123010,博世转债,0.68%,102.232,1.26,12.74,1,2.05,AA-,5.186,4.298,123010,85.028
37,127009,冰轮转债,-0.85%,133.65,-1.52,-18.48,0,-2.6,AA,5.715,5.091,未到转股期,84.83
38,123024,岱勒转债,-0.59%,100.4,1.82,14.78,0,2.55,A+,4.896,2.100,未到转股期,84.82
39,113012,骆驼转债,1.16%,103.95,2.45,11.5,1,1.2,AA,3.901,5.096,191012,84.55
40,110052,贵广转债,-0.65%,114.2,-9.4,1.36,0,0.72,AA+,5.852,16.000,未到转股期,84.44
41,128027,崇达转债,-0.18%,112.1,-0.06,3.54,0,-0.26,AA,4.63,7.591,128027,84.36
42,123007,道氏转债,0.89%,112.115,1.98,3.6,1,-0.02,AA-,4.666,3.042,123007,84.28500000000001
43,123012,万顺转债,1.38%,115.798,4.32,0.02,0,-0.77,AA-,5.227,1.708,123012,84.182
44,110051,中天转债,-0.47%,107.13,1.2,8.72,0,1.14,AA+,5.838,39.651,未到转股期,84.15
45,128048,张行转债,2.00%,111.704,0.78,4.3,0,0.42,AA+,5.542,25.000,未到转股期,83.99600000000001
46,128021,兄弟转债,1.46%,106.917,-2.96,9.17,1,0.69,AA,4.584,5.050,128021,83.913
